City ID,City,Country,Date,Lat,Lng,Current Temp,Max Temp,Humidity (%),Cloudiness (%),Wind Speed (mph)
235,Saint-François,FR,1599440568,46.42,3.91,47.16,48.0,87,30,2.24
236,Bom Sucesso,BR,1599440569,-21.03,-44.76,65.98,65.98,36,0,2.01
237,Ostrovnoy,RU,1599440569,68.05,39.51,51.19,51.19,81,100,14.92
238,Lavrentiya,RU,1599440569,65.58,-171.0,44.6,44.6,70,100,21.45
239,Cap Malheureux,MU,1599440569,-19.98,57.61,66.99,66.99,91,100,3.0
240,Mumford,GH,1599440570,5.26,-0.76,74.68,74.68,89,85,11.56
241,Oron,NG,1599440570,4.83,8.23,74.23,74.23,92,80,4.34
242,Merrill,US,1599440570,45.18,-89.68,70.34,71.6,88,75,5.82
243,Kajaani,FI,1599440571,64.23,27.73,46.4,46.4,100,100,3.36
244,Olinda,BR,1599440571,-8.01,-34.86,77.0,77.0,69,40,10.29
245,Coquimbo,CL,1599440484,-29.95,-71.34,55.4,55.4,76,90,5.82
246,North Bend,US,1599440571,43.41,-124.22,63.25,71.01,77,1,26.4
247,Huntington,US,1599440520,38.42,-82.45,72.25,75.0,69,1,3.76
248,Safi,MA,1599440491,32.3,-9.24,73.67,73.67,69,0,9.53
249,Belaya Gora,RU,1599440572,68.53,146.42,47.77,47.77,61,100,6.33
250,Tire,TR,1599440573,38.09,27.74,73.4,73.4,53,0,10.29
251,Naviraí,BR,1599440574,-23.07,-54.19,76.42,76.42,42,5,3.65
252,Francisco Sá,BR,1599440574,-16.48,-43.49,75.2,75.2,44,0,2.24
253,Kaeo,NZ,1599440575,-35.1,173.78,60.37,60.37,80,70,12.39
254,Dawei,MM,1599440575,14.08,98.2,81.14,81.14,84,98,1.86
255,Saint Lawrence,MT,1599440575,36.06,14.2,77.38,78.8,83,89,9.17
256,Tasiilaq,GL,1599440537,65.61,-37.64,35.6,35.6,93,83,9.17
257,Ponta do Sol,PT,1599440502,32.67,-17.1,67.77,73.4,78,20,8.05
258,Chilakalūrupet,IN,1599440576,16.08,80.17,80.53,80.53,88,0,1.9
259,Moose Factory,CA,1599440576,51.26,-80.61,53.6,53.6,87,90,11.41
260,Sibolga,ID,1599440343,1.74,98.78,81.14,81.14,66,69,2.3
261,Gizo Government Station,SB,1599440577,-8.1,156.84,84.7,84.7,68,4,5.28
262,Puerto Baquerizo Moreno,EC,1599440550,-0.9,-89.6,65.89,65.89,89,81,11.32
263,Kiryat Gat,IL,1599440577,31.61,34.76,78.22,79.0,78,20,3.36
264,Verkhnyaya Inta,RU,1599440578,65.98,60.31,50.05,50.05,91,85,6.78
265,Gorontalo,ID,1599440578,0.54,123.06,82.94,82.94,81,19,3.53
266,Klaksvík,FO,1599440578,62.23,-6.59,51.8,51.8,100,100,13.87
267,Itarema,BR,1599440579,-2.92,-39.92,78.26,78.26,80,6,13.24
268,Alekseyevsk,RU,1599440579,57.84,108.35,53.89,53.89,75,65,1.99
269,Santa Rosa,PH,1599440579,14.31,121.11,86.0,86.0,79,40,4.7
270,Pacific Grove,US,1599440280,36.62,-121.92,88.9,95.0,35,1,3.89
271,Atambua,ID,1599440580,-9.11,124.89,82.71,82.71,42,5,3.65
272,Korla,CN,1599440580,41.76,86.15,72.0,72.0,81,64,4.0
273,Saint George,US,1599440580,37.1,-113.58,107.71,109.4,6,1,18.34
274,Talcahuano,CL,1599440543,-36.72,-73.12,53.6,53.6,87,0,2.24
275,Lydenburg,ZA,1599440581,-25.1,30.46,42.66,51.01,82,0,0.2
276,San Cristobal,VE,1599440529,7.77,-72.22,67.23,67.23,87,19,2.66
277,São João da Barra,BR,1599440429,-21.64,-41.05,72.95,72.95,87,0,16.78
278,Turaif,SA,1599440582,31.67,38.66,82.4,82.4,20,0,2.24
279,Touros,BR,1599440582,-5.2,-35.46,75.2,75.2,78,0,5.82
280,Engenheiro Beltrão,BR,1599440582,-23.8,-52.27,70.74,70.74,48,0,3.06
281,Sur,OM,1599440583,22.57,59.53,82.53,82.53,61,0,7.74
282,Nanchang,CN,1599440583,28.68,115.88,81.23,81.23,60,0,4.0
283,Grindavik,IS,1599440479,63.84,-22.43,50.0,50.0,100,90,18.34
284,Chokurdakh,RU,1599440584,70.63,147.92,50.25,50.25,49,9,9.48
285,Channel-Port aux Basques,CA,1599440584,47.57,-59.14,56.12,56.12,83,0,7.67
286,Carnduff,CA,1599440584,49.17,-101.8,55.99,55.99,56,100,11.01
287,Cabo San Lucas,MX,1599440398,22.89,-109.91,83.66,84.99,69,40,6.93
288,Liverpool,GB,1599440461,53.41,-2.98,54.77,55.99,67,100,5.26
289,Mirny,RU,1599440585,62.54,113.96,44.6,44.6,87,40,6.71
290,Koutsouras,GR,1599440585,35.03,25.95,75.0,75.0,60,0,8.01
291,Laredo,US,1599440365,27.51,-99.51,78.8,78.8,78,20,5.41
292,Egvekinot,RU,1599440586,66.32,-179.17,44.8,44.8,57,100,2.24
293,Mabama,TZ,1599440586,-5.13,32.53,65.95,65.95,57,97,5.88
294,San Ramon,US,1599440586,37.78,-121.98,107.71,111.0,13,90,5.82
295,Krasnosel'kup,RU,1599440587,65.7,82.47,43.05,43.05,85,0,4.61
296,Muscat,OM,1599440520,23.61,58.59,84.2,84.2,79,0,1.12
297,Haapiti,PF,1599440587,-17.57,-149.87,84.2,84.2,70,75,5.82
298,Longonjo,AO,1599440588,-12.91,15.25,56.12,56.12,81,0,0.6
299,Sakakah,SA,1599440588,29.97,40.21,84.2,84.2,14,0,4.7
300,Aksu,CN,1599440589,41.12,80.26,67.03,67.03,49,0,3.85
301,Giraldo,CO,1599440590,6.68,-75.99,51.15,51.15,100,95,3.2
302,Bowen,AU,1599440590,-20.02,148.23,77.0,77.0,61,40,20.8
303,Najrān,SA,1599440590,17.49,44.13,75.2,75.2,25,89,4.7
304,Licata,IT,1599440591,37.11,13.95,71.22,73.4,83,68,5.82
305,Bilibino,RU,1599440591,68.05,166.44,45.46,45.46,57,1,4.27
306,Lakatoro,VU,1599440591,-16.1,167.42,80.62,80.62,71,94,11.83
307,Eyl,SO,1599440592,7.98,49.82,75.16,75.16,78,100,20.67
308,Haines Junction,CA,1599440575,60.75,-137.51,60.42,60.42,33,6,4.52
309,Petropavlovsk-Kamchatskiy,RU,1599440592,53.05,158.65,62.6,62.6,72,40,2.24
310,Soyo,AO,1599440593,-6.13,12.37,72.36,72.36,90,38,9.4
311,São José da Coroa Grande,BR,1599440531,-8.9,-35.15,73.56,73.56,77,1,8.55
312,Parrita,CR,1599440593,9.52,-84.32,68.61,69.8,94,75,4.7
313,Petropavlovka,RU,1599440593,50.61,105.32,52.97,52.97,71,0,2.24
314,Levokumskoye,RU,1599440594,44.82,44.66,65.7,65.7,76,74,6.6
315,Fayaoué,NC,1599440594,-20.65,166.53,74.07,74.07,73,100,15.39
316,Emerald,AU,1599440594,-23.53,148.17,76.55,77.0,47,75,21.92
317,Kamwenge,UG,1599440595,0.19,30.45,63.7,63.7,95,100,2.21
318,Tocopilla,CL,1599440595,-22.09,-70.2,61.72,61.72,59,22,8.14
319,Burnie,AU,1599440595,-41.07,145.92,57.99,57.99,56,3,13.0
320,Ancud,CL,1599440596,-41.87,-73.82,43.45,44.01,89,0,1.99
321,Mosquera,CO,1599440596,4.71,-74.23,53.6,53.6,87,20,5.82
322,Bodden Town,KY,1599440596,19.28,-81.25,83.44,84.2,83,20,9.84
323,Thinadhoo,MV,1599440597,0.53,72.93,82.53,82.53,73,100,9.22
324,Port Blair,IN,1599440597,11.67,92.75,83.08,83.08,78,100,5.86
325,Viedma,AR,1599440598,-40.81,-63.0,50.0,50.0,65,0,1.99
326,Uíge,AO,1599440598,-7.61,15.06,68.52,68.52,86,83,3.65
327,Mont-Dore,NC,1599440598,-22.28,166.58,75.99,75.99,99,100,11.25
328,Nizhniy Tsasuchey,RU,1599440599,50.52,115.13,62.1,62.1,71,100,5.44
329,Talaya,RU,1599440599,61.38,152.75,50.2,50.2,67,99,3.83
330,Damaturu,NG,1599440600,11.75,11.96,74.39,74.39,82,100,3.69
331,Rawson,AR,1599440600,-43.3,-65.1,51.98,51.98,54,0,8.66
332,Mushie,CD,1599440600,-3.02,16.9,74.34,74.34,83,100,3.13
333,Guilin,CN,1599440601,25.28,110.29,77.0,77.0,94,75,4.47
